municipio,fecha,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles,producto
Manzanares,2005-05-09,0.6988155855834729,0.775401846055061,0.0632,0.9962000000000001,0.19640718641958796,3362,MODIS/061/MOD13Q1
Aranzazu,2005-05-09,0.6448229843267166,0.6898497376016794,0.0635,0.994,0.18539225614494712,2578,MODIS/061/MOD13Q1
Marulanda,2005-05-09,0.6942572012407201,0.7362407550030325,0.058800000000000005,0.9977,0.15152948305874636,6340,MODIS/061/MOD13Q1
Filadelfia,2005-05-09,0.7598434524051049,0.7794435905715211,0.0636,0.9906,0.11111072366098733,3244,MODIS/061/MOD13Q1
Salamina,2005-05-09,0.7248088713650196,0.756020163843796,0.10070000000000001,0.999,0.13319500557108224,6505,MODIS/061/MOD13Q1
Marmato,2005-05-09,0.6721314007261361,0.7441749311294766,0.082,0.9766,0.1801385482365161,667,MODIS/061/MOD13Q1
Supia,2005-05-09,0.7212525906308569,0.7636020959409594,0.0697,0.9876,0.14353246965097716,2094,MODIS/061/MOD13Q1
Pensilvania,2005-05-09,0.7507639721355891,0.8262360408867204,0.0565,0.9974000000000001,0.18527760056643308,8359,MODIS/061/MOD13Q1
Riosucio,2005-05-09,0.7675578790516574,0.7986179617531776,0.0456,0.9697,0.1281878017874635,6439,MODIS/061/MOD13Q1
Pácora,2005-05-09,0.7850385008069869,0.8106091455709992,0.11230000000000001,0.9962000000000001,0.10909333568017018,4322,MODIS/061/MOD13Q1
Victoria,2005-05-09,0.7723287720682277,0.7831507400786557,0.1588,0.9971000000000001,0.09186172482119494,9335,MODIS/061/MOD13Q1
Aguadas,2005-05-09,0.7527691855510671,0.7831037580685916,0.056400000000000006,0.9865,0.13105733654622836,7981,MODIS/061/MOD13Q1
Samaná,2005-05-09,0.7188944056691584,0.7714895116459082,0.0766,0.9963000000000001,0.16875993787335333,12608,MODIS/061/MOD13Q1
Viterbo,2005-05-09,0.7578979222341716,0.7874682366589328,0.2378,0.927,0.10462194577968664,1974,MODIS/061/MOD13Q1
La Merced,2005-05-09,0.7442047563782702,0.7713239895387543,0.19140000000000001,0.9936,0.1167246245151351,1533,MODIS/061/MOD13Q1
Palestina,2005-05-09,0.807677174376698,0.8144458103028966,0.4053,0.9158000000000001,0.06284776648628253,1963,MODIS/061/MOD13Q1
Chinchiná,2005-05-09,0.751911898826358,0.8086014544909281,-0.16040000000000001,0.9985,0.16636838718562177,1944,MODIS/061/MOD13Q1
La Dorada,2005-05-09,0.7330227410431194,0.756014159532261,0.0318,0.9987,0.12325784236704337,9281,MODIS/061/MOD13Q1
Belalcázar,2005-05-09,0.7695288361806971,0.7950925259244768,0.0738,0.9947,0.11477702383095124,1968,MODIS/061/MOD13Q1
San José,2005-05-09,0.7111536661697756,0.7637714498584413,0.08990000000000001,0.9440000000000001,0.1552127442676792,1095,MODIS/061/MOD13Q1
Marquetalia,2005-05-09,0.7831427933199461,0.8574334675670653,0.05,0.9976,0.16301580687746803,1587,MODIS/061/MOD13Q1
Norcasia,2005-05-09,0.7646651641977726,0.7946555374748733,0.15960000000000002,0.9965,0.12646597387892694,3901,MODIS/061/MOD13Q1
Manizales,2005-05-09,0.729195620887817,0.779263081136597,0.06380000000000001,0.9944000000000001,0.15522265583118597,7420,MODIS/061/MOD13Q1
Villamaria,2005-05-25,0.44250003021247036,0.4198812499999999,-0.0553,0.9404,0.277003873466409,7588,MODIS/061/MOD13Q1
Risaralda,2005-05-25,0.6894064518670664,0.6938789121847465,0.1623,0.9554,0.14155142673311782,1602,MODIS/061/MOD13Q1
Neira,2005-05-25,0.7542065806160678,0.7948900270685194,0.0789,0.9928,0.14296513616052808,6263,MODIS/061/MOD13Q1
