municipio,date,anio,mes,et_real_mm,et_potencial_mm,n_pixeles
Riosucio,2021-05-01,2021,5,92.14181146828845,92.14181146828845,30
Pácora,2021-05-01,2021,5,95.54583875162547,95.54583875162547,21
Victoria,2021-05-01,2021,5,115.08881244391267,115.08881244391267,39
Aguadas,2021-05-01,2021,5,96.27852631578948,96.27852631578948,38
Samaná,2021-05-01,2021,5,105.12983826603589,105.12983826603589,56
Viterbo,2021-05-01,2021,5,102.43564504101418,102.43564504101418,11
La Merced,2021-05-01,2021,5,100.4961320754717,100.4961320754717,9
Palestina,2021-05-01,2021,5,101.51334824757646,101.51334824757646,12
Chinchiná,2021-05-01,2021,5,99.51283422459893,99.51283422459893,14
La Dorada,2021-05-01,2021,5,118.24881314668292,118.24881314668292,48
Belalcázar,2021-05-01,2021,5,101.35346607669615,101.35346607669615,14
San José,2021-05-01,2021,5,101.2716459197787,101.2716459197787,7
Marquetalia,2021-05-01,2021,5,98.79814126394054,98.79814126394054,11
Norcasia,2021-05-01,2021,5,114.86702205882358,114.86702205882358,24
