municipio,anio,precip_mm_sum,precip_mm_mean,precip_mm_std,temp_mean_mean,temp_mean_std,ndvi_mean_mean,ndvi_mean_min,et_real_mm_sum,balance_hidrico_mm_mean,balance_hidrico_mm_min
Pensilvania,2026,3043.263555812004,253.605296317667,77.44190900803804,16.476021244023162,0.43966189099613434,0.5836312150317107,0.4875116315134752,1046.946034448832,166.359793446931,53.582009306805105
Pensilvania,2027,3043.263555812004,253.605296317667,77.44190900803804,16.476021244023162,0.43966189099613434,0.5836312150317107,0.4875116315134752,1030.2771960601149,167.74886331265745,55.299447212515275
Pácora,2025,2656.507916389266,221.3756596991055,119.67148758988704,16.897288418284273,0.3188527156621064,0.6876706914468752,0.4944602371744067,0.0,,
Pácora,2026,2288.90097766991,190.74174813915917,65.35647555486136,17.064540487424377,0.26346055853722833,0.6725311106887594,0.6056339035776664,1103.5086589726916,98.7826932247682,15.214184614146333
Pácora,2027,2288.90097766991,190.74174813915917,65.35647555486136,17.064540487424377,0.26346055853722833,0.6725311106887594,0.6056339035776664,1103.5086589726916,98.7826932247682,15.214184614146333
Riosucio,2025,2583.742093287619,215.31184110730157,113.84801739107537,15.943428210749223,0.19720263037679686,0.6915183329901321,0.3815552764921431,0.0,,
Riosucio,2026,2263.8683110005945,188.6556925833829,59.628038647152415,15.89577060318342,0.09879729122471852,0.657825969077083,0.570352574819515,1069.2403540399655,99.55232974671911,15.998574432336284
Riosucio,2027,2292.444763611928,191.03706363432732,52.879460735487214,15.996920933160924,0.007888425111303641,0.657825969077083,0.570352574819515,1069.2403540399655,101.93370079766355,22.721220057688853
Risaralda,2025,2613.8373517819473,217.81977931516226,119.15053294348887,18.152047432979003,0.24139027482777786,0.7005044648613558,0.6097821901897502,0.0,,
Risaralda,2026,2303.3308615241517,191.94423846034599,53.08281107340525,18.185392812532896,0.18652430315125224,0.7133883359691252,0.6876405764253772,1184.532292051756,93.23321412269962,18.59290243894486
Risaralda,2027,2303.3308615241517,191.94423846034599,53.08281107340525,18.185392812532896,0.18652430315125224,0.7133883359691252,0.6876405764253772,1184.532292051756,93.23321412269962,18.59290243894486
Salamina,2025,2467.8007238892883,205.65006032410736,106.05051493799647,13.682250504662633,0.23567789823780733,0.6816498058212939,0.5400749445563281,0.0,,
Salamina,2026,2072.1770550870033,172.68142125725026,62.46758462114547,13.888696907438964,0.17428583405772982,0.6390822693271411,0.5597190815295905,1008.9843262181975,88.59939407240051,16.050119699512976
Salamina,2027,2072.1770550870033,172.68142125725026,62.46758462114547,13.888696907438964,0.17428583405772982,0.6390822693271411,0.5597190815295905,1008.9843262181975,88.59939407240051,16.050119699512976
