sim,prima_total,indemnizacion_total,resultado_total,loss_ratio
330,378342668.6107,365271671.8997277,13070996.71097231,0.9654519624789615
331,409435735.188272,272556336.5753109,136879398.6129611,0.6656877090857263
332,376148889.47449255,247720401.8407285,128428487.63376406,0.6585700736397546
333,413504155.8003164,314576504.9841465,98927650.81616992,0.7607577833777741
334,386198751.34613335,275821876.5915133,110376874.75462008,0.7141967073433284
335,381578529.5875127,277063737.4666439,104514792.12086874,0.7260988655890847
336,365666520.8997669,277395720.2587551,88270800.64101183,0.7586030013800257
337,417592058.53575057,232490291.47930476,185101767.0564458,0.5567402126719346
338,376477156.52177185,322308162.048088,54168994.473683834,0.8561161187729296
339,354233270.7775071,207354260.0566806,146879010.72082654,0.5853607697593126
340,369888265.6974244,342769866.89537907,27118398.802045345,0.9266848902305306
341,413220724.3157898,256222449.69292003,156998274.6228698,0.6200619538557093
342,339467731.6356221,212943829.65318787,126523901.98243421,0.6272873967348318
343,385845146.25956726,254911099.89309883,130934046.36646843,0.660656489693443
344,388774970.3743547,253617514.80069467,135157455.57366005,0.6523504189492555
345,379582997.0805911,270042838.26565194,109540158.81493914,0.7114197430932815
346,400257304.2657268,323993656.8286768,76263647.43704998,0.8094634460776278
347,423155752.21387446,302631824.3953277,120523927.81854677,0.7151783304658217
348,358936916.4063951,293488039.22711986,65448877.179275215,0.8176591089193713
349,465546971.9451994,303216717.823374,162330254.1218254,0.65131283435577
350,355436705.25685364,227026540.04170275,128410165.2151509,0.6387256484319584
351,394379949.4883244,304849211.1497498,89530738.33857459,0.7729835442832899
352,383780127.2841616,300764794.025342,83015333.25881964,0.7836903806190237
353,428825684.73924977,331000208.85109717,97825475.8881526,0.7718758941698279
354,410425494.899424,231800922.078275,178624572.82114902,0.56478197616617
355,401954234.52594584,298172886.1565756,103781348.36937022,0.7418080481431744
356,376793783.2932798,249644017.36553764,127149765.92774218,0.6625481322530888
357,435114630.9662735,376446853.5716471,58667777.39462638,0.8651670773185887
358,365677632.07602245,325914151.72677845,39763480.349244,0.8912608350598339
359,411225270.7280206,196849838.86048454,214375431.86753607,0.47869100678561805
360,433573860.0004664,333604396.8903709,99969463.1100955,0.7694292199488503
