Municipio,Año,NDVI,ALLSKY_SFC_LW_DWN,GWETROOT,PRECTOTCORR,PS,RH2M,T2M,WS2M,Código Dane municipio,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
Filadelfia,2017,0.7159833333333333,31.851666666666663,0.9141666666666666,2357.33,81.69166666666666,88.55333333333334,17.761666666666667,0.2133333333333333,17272,2156.0,1684.0,1986.0,1.18
Filadelfia,2018,0.7012333333333333,31.7825,0.8958333333333334,2106.68,81.67083333333333,88.42583333333333,17.603333333333335,0.205,17272,2107.0,1678.0,2025.0,1.21
Filadelfia,2019,0.7204875,31.7975,0.8441666666666667,2124.5,81.68333333333334,87.56333333333333,18.136666666666667,0.2058333333333333,17272,2060.0,1562.0,2045.0,1.31
Filadelfia,2020,0.7016041666666667,31.741666666666664,0.785,1701.71,81.69166666666666,86.82333333333332,18.094166666666663,0.2308333333333333,17272,2023.0,1549.0,1874.0,1.21
Filadelfia,2021,0.7256625,31.83583333333333,0.6583333333333333,1126.36,81.66583333333334,83.28750000000001,18.313333333333333,0.2141666666666667,17272,1946.91,1497.52,1901.85,1.27
Filadelfia,2022,0.7161083333333332,31.73583333333333,0.9175,2723.89,81.66583333333334,89.2075,17.550833333333333,0.2108333333333333,17272,1942.67,1528.17,1763.99,1.15
Filadelfia,2023,0.757475,31.58583333333333,0.8658333333333333,2048.06,81.68166666666667,87.69333333333333,18.084166666666665,0.2225,17272,1896.13,1487.46,1659.2,1.12
Filadelfia,2024,0.7432,31.951666666666668,0.8191666666666667,2238.15,81.70583333333333,87.02333333333333,18.743333333333336,0.2125,17272,1893.21,1444.29,2002.14,1.39
La Merced,2007,0.6795625,31.97833333333333,0.7399999999999999,1361.99,81.66083333333333,86.08999999999999,17.62333333333333,0.2325,17388,1321.0,1219.0,1257.0,1.03
La Merced,2008,0.6476541666666666,31.9375,0.6558333333333334,1236.36,81.65083333333332,82.53,17.843333333333334,0.215,17388,1217.0,9930.0,860.0,0.87
La Merced,2009,0.7255875,31.988333333333333,0.915,2151.51,81.63583333333334,88.12,17.746666666666666,0.2141666666666667,17388,1193.0,109.0,981.0,0.9
La Merced,2010,0.6377708333333333,32.0175,0.8908333333333333,2778.63,81.65833333333333,88.43416666666667,17.826666666666664,0.2183333333333333,17388,1191.0,9910.0,940.0,0.95
La Merced,2011,0.603475,31.83083333333333,0.96,2921.37,81.63833333333334,89.3675,17.225833333333334,0.2241666666666666,17388,1133.0,9420.0,848.0,0.9
La Merced,2012,0.7178125,31.824166666666667,0.95,2925.64,81.64916666666666,88.72166666666668,17.435,0.21,17388,1133.0,9420.0,942.0,1.0
La Merced,2013,0.6618166666666667,31.945000000000004,0.96,2976.77,81.65333333333334,89.20833333333333,17.649166666666666,0.2066666666666666,17388,1106.0,8630.0,841.0,0.97
La Merced,2014,0.7076833333333333,31.9275,0.9275,2677.38,81.65916666666666,88.61416666666666,17.731666666666666,0.2091666666666667,17388,106.0,8830.0,931.0,1.05
La Merced,2015,0.7150916666666666,31.936666666666667,0.7816666666666667,1465.53,81.65666666666667,85.45666666666666,18.1325,0.2091666666666666,17388,1016.0,8700.0,951.0,1.09
La Merced,2016,0.6984833333333333,32.016666666666666,0.7541666666666668,1906.77,81.69916666666667,85.98833333333333,18.38416666666667,0.205,17388,9890.0,8300.0,938.0,1.13
La Merced,2017,0.6991375,31.851666666666663,0.9141666666666666,2357.33,81.69166666666666,88.55333333333334,17.761666666666667,0.2133333333333333,17388,9610.0,7640.0,1082.0,1.42
La Merced,2018,0.6946333333333333,31.7825,0.8958333333333334,2106.68,81.67083333333333,88.42583333333333,17.603333333333335,0.205,17388,9550.0,7620.0,1104.0,1.45
La Merced,2019,0.6272875,31.7975,0.8441666666666667,2124.5,81.68333333333334,87.56333333333333,18.136666666666667,0.2058333333333333,17388,935.0,694.0,909.0,1.31
La Merced,2020,0.7463791666666667,31.741666666666664,0.785,1701.71,81.69166666666666,86.82333333333332,18.094166666666663,0.2308333333333333,17388,917.0,671.0,812.0,1.21
La Merced,2021,0.6774749999999999,31.83583333333333,0.6583333333333333,1126.36,81.66583333333334,83.28750000000001,18.313333333333333,0.2141666666666667,17388,910.5,666.81,700.15,1.05
