municipio,date,anio,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles
Manizales,2010-12-31,2010,0.5767974002182932,0.6224629698756851,0.0035,0.9989,0.2198644327246214,7421.416666666667
Manizales,2011-12-31,2011,0.5883684426375394,0.6532639117423933,-0.0208,0.9991,0.23375325615937756,7421.541666666667
Manizales,2012-12-31,2012,0.6262702755463259,0.6890057709672194,0.008,0.9993,0.20770666766315207,7422.0
Manizales,2013-12-31,2013,0.6300493435803688,0.6997202378675192,0.0038,0.9994,0.21364901098328692,7421.833333333333
Manizales,2014-12-31,2014,0.629010418790521,0.6974322466569912,0.0061,0.9995,0.21331199147203284,7421.875
Manizales,2015-12-31,2015,0.6553339914658188,0.7104621605706153,0.0057,0.9995,0.18140224488732629,7421.875
Manizales,2016-12-31,2016,0.6135911676283478,0.6594326002053049,0.003,0.9991,0.1961715977686047,7422.041666666667
Manizales,2017-12-31,2017,0.6310171570473656,0.7055627471990237,0.0036,0.9994,0.22462558015612796,7421.666666666667
Manizales,2018-12-31,2018,0.6362789978936111,0.7079981183649822,0.0082,0.9994,0.2157467012080813,7421.708333333333
Manizales,2019-12-31,2019,0.6244905461483813,0.6858906258484202,-0.0042,0.9993,0.21291343793208953,7421.75
Manizales,2020-12-31,2020,0.6427276030078328,0.7083688998592851,0.005,0.9994,0.20790692417539144,7422.208333333333
Manizales,2021-12-31,2021,0.6040187815178019,0.6768459249878472,-0.0105,0.9995,0.22971047328528157,7421.75
Manizales,2022-12-31,2022,0.5845663413264691,0.6528605485332843,-0.0063,0.9995,0.24315951747336706,7420.083333333333
Manizales,2023-12-31,2023,0.7125047541124846,0.7726821148273452,0.0202,0.9992,0.1677291798561716,7421.791666666667
Manizales,2024-12-31,2024,0.7065228693280852,0.763283945421608,-0.0019,0.9994,0.16715266055882771,7421.458333333333
Manizales,2025-12-31,2025,0.6941578047040374,0.7405206109362226,0.0108,0.999,0.16392424578781942,7421.791666666667
Manzanares,2005-12-31,2005,0.654312063873843,0.6934092452207836,-0.0025,0.9993,0.17617897390567225,3360.9166666666665
Manzanares,2006-12-31,2006,0.6345652915459091,0.6704461453476483,0.0086,0.9994,0.18444443110234085,3360.9166666666665
Manzanares,2007-12-31,2007,0.68583021603347,0.7175772957766616,-0.0118,0.9994,0.15310420096025748,3360.75
Manzanares,2008-12-31,2008,0.5812755688845622,0.6168377998848736,0.0022,0.998,0.2137181331390113,3360.8333333333335
Manzanares,2009-12-31,2009,0.6620738116373287,0.6920960207476673,0.012,0.9993,0.15805018800660056,3361.0416666666665
Manzanares,2010-12-31,2010,0.6321615261610543,0.6706053320981784,0.0133,0.9988,0.18489787058350657,3360.7916666666665
Manzanares,2011-12-31,2011,0.6179527864529927,0.6344187135994913,0.0082,0.9996,0.1844634329887299,3360.7916666666665
Manzanares,2012-12-31,2012,0.6708072921125571,0.7094599481891241,0.0018,0.998,0.1598114092199981,3361.0
Manzanares,2013-12-31,2013,0.6890097764836659,0.7197629772346715,0.002,0.9994,0.15147046904259368,3360.9583333333335
Manzanares,2014-12-31,2014,0.6230582442349052,0.6442133920641467,0.004,0.9991,0.16796358201802164,3361.0416666666665
Manzanares,2015-12-31,2015,0.6993927437650798,0.732211898248511,0.0139,0.9994,0.14230432400952958,3360.9583333333335
Manzanares,2016-12-31,2016,0.6502682508897403,0.6909851098402303,0.0104,0.9994,0.16953226117249565,3360.7083333333335
Manzanares,2017-12-31,2017,0.6831479561355036,0.7195504291963203,0.0132,0.9989,0.1620381894411271,3360.9583333333335
Manzanares,2018-12-31,2018,0.6713571202324528,0.6923810136012691,0.01,0.9996,0.1643948170233717,3360.9166666666665
Manzanares,2019-12-31,2019,0.6891962237843797,0.7229783387806693,0.0157,0.9993,0.1557533349992653,3360.875
Manzanares,2020-12-31,2020,0.6820364741956855,0.7200789529891706,-0.0044,0.9992,0.176080852121233,3361.0
Manzanares,2021-12-31,2021,0.6492228948349822,0.6852640779029867,-0.0079,0.9995,0.18616032997391738,3360.625
Manzanares,2022-12-31,2022,0.5614371693728772,0.5843534575527393,-0.0111,0.9993,0.18767136788538183,3360.1666666666665
Manzanares,2023-12-31,2023,0.6871184451014966,0.7242931369531608,0.0056,0.9996,0.153234301947197,3360.9166666666665
Manzanares,2024-12-31,2024,0.7298415170298241,0.7630279823961827,0.011,0.9996,0.12728599039141736,3361.4166666666665
Manzanares,2025-12-31,2025,0.6909841446878815,0.7078617460915396,-0.0011,0.9984,0.13276593794843916,3360.9583333333335
Marmato,2005-12-31,2005,0.6791394987853739,0.710844569967975,0.0411,0.996,0.1381315172358587,667.3333333333334
Marmato,2006-12-31,2006,0.6758932071648901,0.7025623434292597,0.0283,0.9957,0.15204929889777638,667.6666666666666
Marmato,2007-12-31,2007,0.6771548414885684,0.7218184440803658,0.0409,0.9936,0.15315555342829087,667.7916666666666
Marmato,2008-12-31,2008,0.6613935408391406,0.6913325570538574,0.0411,0.9994,0.15705869266980005,668.0
Marmato,2009-12-31,2009,0.6947756057582039,0.7302026014839081,0.0308,0.9964,0.13341020583089233,667.8333333333334
Marmato,2010-12-31,2010,0.6366389985603268,0.6740731500677248,0.0165,0.9988,0.16306125305530614,667.8333333333334
Marmato,2011-12-31,2011,0.64507558527529,0.6855559196524547,0.0369,0.9921,0.16482062229664657,667.75
Marmato,2012-12-31,2012,0.6788888806386737,0.7060458935401317,0.0536,0.9985,0.13532620494828335,667.9583333333334
Marmato,2013-12-31,2013,0.6996324050431438,0.7427768301446084,0.0371,0.9978,0.13767141974086458,667.7916666666666
Marmato,2014-12-31,2014,0.7103566539737347,0.744148791877106,0.0249,0.9961,0.13048326283958225,667.75
Marmato,2015-12-31,2015,0.7116278436540147,0.7369925110566532,0.0394,0.9994,0.10763948145833319,667.8333333333334
Marmato,2016-12-31,2016,0.6771708575821515,0.6979936383126505,0.0472,0.9975,0.12417862299930793,668.0
Marmato,2017-12-31,2017,0.7061566388336056,0.7431370672884383,0.0591,0.997,0.141902173512735,667.7916666666666
Marmato,2018-12-31,2018,0.6921839825104863,0.722085289008689,0.0367,0.9986,0.1348939371789029,667.75
Marmato,2019-12-31,2019,0.6884051797366947,0.7224702040078554,0.0481,0.9993,0.13690964060269709,667.8333333333334
