modelo,mae,rmse,sesgo,municipio,variable,modelo_seleccionado
sarima,62.16478481399289,95.47333461726545,-12.855232589685052,Chinchiná,precip_mm,sarima
seasonal_naive,62.33260713927261,95.81380569498471,-13.778106737627253,Chinchiná,precip_mm,sarima
random_forest_lags,63.77055847063933,103.27442629386158,-26.335213822872518,Chinchiná,precip_mm,sarima
sarima,2.080923085969773,3.3074461651730642,-0.4698619226297135,Chinchiná,precip_mean_mm,sarima
seasonal_naive,2.0865747175360174,3.317681994759874,-0.4956323390889352,Chinchiná,precip_mean_mm,sarima
random_forest_lags,2.151762930075373,3.6047067295677175,-0.9166755696471991,Chinchiná,precip_mean_mm,sarima
sarima,11.782775215817127,19.31584485069358,-2.0869140416438317,Chinchiná,precip_max_mm,sarima
seasonal_naive,11.802849622932614,19.547822299175177,-3.646011446695986,Chinchiná,precip_max_mm,sarima
random_forest_lags,12.188321446158536,20.210237640294782,-3.796502649398117,Chinchiná,precip_max_mm,sarima
sarima,0.30245519794119385,0.3521322856196339,0.08414366889691093,Chinchiná,temp_mean,sarima
random_forest_lags,0.31177671192180034,0.36414182584983773,-0.27625077104667106,Chinchiná,temp_mean,sarima
seasonal_naive,0.593079183342511,0.6807015155394367,-0.593079183342511,Chinchiná,temp_mean,sarima
sarima,0.33705377917503443,0.4155760680945692,-0.1615442233666529,Chinchiná,temp_min,sarima
random_forest_lags,0.6070933972156187,0.6912886252717395,-0.5272418318837722,Chinchiná,temp_min,sarima
seasonal_naive,0.6810122287363247,0.764908935526972,-0.664960977836182,Chinchiná,temp_min,sarima
sarima,1.0969563452735058,1.4965612758170657,-0.5160113125138474,Chinchiná,temp_max,sarima
seasonal_naive,1.108616778321535,1.5080973671371427,-0.5439811930894065,Chinchiná,temp_max,sarima
random_forest_lags,1.032063301006215,1.5172969810299297,-0.31335245773019393,Chinchiná,temp_max,sarima
sarima,5.994662397922561,7.58084793119738,-2.838612334675606,Chinchiná,et_real_mm,sarima
seasonal_naive,8.303513779249075,10.268781688804053,-7.521659876071641,Chinchiná,et_real_mm,sarima
