municipio,date,anio,mes,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles
Salamina,2011-01-31,2011,1,0.6879157405636411,0.7441394356555127,0.038,0.9986,0.16844072226580914,6513.0
Salamina,2011-02-28,2011,2,0.6255741256093353,0.7011129167419288,0.0168,0.9983,0.2027643603248171,6504.5
Salamina,2011-03-31,2011,3,0.5802892317536072,0.6503088900585272,0.0374,0.9993,0.2211016112106037,6505.0
Salamina,2011-04-30,2011,4,0.54087515198644,0.5425205649534522,0.0199,0.9897,0.2037573940664814,6505.0
Salamina,2011-05-31,2011,5,0.5412424240193627,0.5955699610853182,0.0182,0.9949,0.2293364440655995,6505.0
Salamina,2011-06-30,2011,6,0.7358362924368238,0.7481113661700418,0.0637,0.9861,0.09830512279623324,6505.0
Salamina,2011-07-31,2011,7,0.6490329957710717,0.6602694974402875,0.0419,0.9985,0.13068784941298028,6504.5
Salamina,2011-08-31,2011,8,0.5875187421631709,0.6109666043837128,0.03,0.9973,0.175392404528628,6505.0
Salamina,2011-09-30,2011,9,0.5943495826810393,0.6525299129867264,0.0303,0.9961,0.20417664298719307,6504.0
Salamina,2011-10-31,2011,10,0.7071672902782136,0.7478755498281787,0.0391,0.9763,0.1547395148376637,6505.0
Salamina,2011-11-30,2011,11,0.5143632434885779,0.5115910054028907,0.0164,0.9995,0.2426570655625939,6512.0
Salamina,2011-12-31,2011,12,0.5447967559289529,0.5295609008433662,0.0102,0.9969,0.19370307341308046,6510.0
Salamina,2012-01-31,2012,1,0.6016280082723863,0.656389866943033,0.0103,0.9992,0.21810134001243425,6513.0
Salamina,2012-02-29,2012,2,0.6679567824676547,0.7245628939419504,0.0254,0.9855,0.1601710031985977,6505.0
Salamina,2012-03-31,2012,3,0.6910190616130977,0.732343182229922,0.0548,0.9759,0.15690266176147893,6505.0
Salamina,2012-04-30,2012,4,0.5297102254803704,0.4765399962162954,0.0156,0.9918,0.20169348612194932,6505.0
Salamina,2012-05-31,2012,5,0.6908492333516412,0.7324743850695667,0.046,0.9988,0.149225693775723,6505.0
Salamina,2012-06-30,2012,6,0.7374005480194081,0.7577542062581404,0.0493,0.9932,0.10773048942180269,6505.0
Salamina,2012-07-31,2012,7,0.6867772009328976,0.7090904350747518,0.0516,0.9886,0.121392735580972,6505.0
Salamina,2012-08-31,2012,8,0.592897113500195,0.6249791696064655,0.0227,0.9981,0.16298901077759992,6505.0
Salamina,2012-09-30,2012,9,0.604222641150937,0.6462983466592147,0.0131,0.9835,0.1638184877956898,6505.0
Salamina,2012-10-31,2012,10,0.6467064685366919,0.6873718085773649,0.0231,0.9992,0.166269697906864,6509.0
Salamina,2012-11-30,2012,11,0.4940956863791257,0.5174539457985342,0.0095,0.9966,0.2704095448724116,6513.0
Salamina,2012-12-31,2012,12,0.7267317096304717,0.740244501248897,0.0082,0.9995,0.1108090461965146,6510.0
Salamina,2013-01-31,2013,1,0.6869749098572598,0.7402787029956202,0.0069,0.99,0.1648737050904446,6511.5
Salamina,2013-02-28,2013,2,0.6114507778157358,0.6855382539651345,0.0293,0.9994,0.21164742280232107,6505.0
Salamina,2013-03-31,2013,3,0.5715709930661603,0.6172877872093516,0.0455,0.9991,0.19292497300212585,6505.0
Salamina,2013-04-30,2013,4,0.6059095496356641,0.673858477808496,0.027,0.9959,0.21542592579567485,6504.5
Salamina,2013-05-31,2013,5,0.6977521252306618,0.7576633986515177,0.0341,0.9954,0.1620995791217409,6505.0
Salamina,2013-06-30,2013,6,0.7531141505777774,0.7793157372669055,0.0375,0.9992,0.1212543738522994,6505.0
Salamina,2013-07-31,2013,7,0.7007237419712846,0.7343929698077195,0.0383,0.9875,0.14352676074286191,6505.0
Salamina,2013-08-31,2013,8,0.6191103639873131,0.6895586901025531,0.037,0.9943,0.2005360180180868,6505.0
Salamina,2013-09-30,2013,9,0.712025179291464,0.7187650413259925,0.0304,0.9953,0.09226536069712465,6505.0
Salamina,2013-10-31,2013,10,0.7341211711465172,0.7559884965277778,0.0578,0.999,0.1241851686142746,6505.0
Salamina,2013-11-30,2013,11,0.4841243780033437,0.4816929315324288,-0.0179,0.996,0.23604736773604357,6511.0
Salamina,2013-12-31,2013,12,0.7325584307152363,0.7607079395383868,-0.017,0.9969,0.12474349276776481,6510.0
Salamina,2014-01-31,2014,1,0.6774143583927748,0.7343222895335009,0.0239,0.9989,0.1875438636884049,6512.5
Salamina,2014-02-28,2014,2,0.4960456769349908,0.4940673929663608,0.0114,0.998,0.25925254852885304,6505.0
Salamina,2014-03-31,2014,3,0.6302165708474198,0.6311923479197368,0.0075,0.9878,0.17131921881012752,6505.0
Salamina,2014-04-30,2014,4,0.6740969087439612,0.7285395657979608,0.0394,0.991,0.17019232214158975,6505.0
Salamina,2014-05-31,2014,5,0.6978692705846227,0.7383511991372943,0.0464,0.9962,0.13359803246136046,6505.0
Salamina,2014-06-30,2014,6,0.7023143190007142,0.7266586225957876,0.0601,0.9982,0.1208857866318999,6505.0
Salamina,2014-07-31,2014,7,0.6437577723062884,0.6740224703429953,0.0469,0.9946,0.1402415480041612,6505.0
Salamina,2014-08-31,2014,8,0.6181270575815159,0.6189360907106594,0.0835,0.9886,0.11931376995811499,6505.0
Salamina,2014-09-30,2014,9,0.5665418575973707,0.6231458240605904,0.0276,0.9988,0.2073165733797505,6505.0
Salamina,2014-10-31,2014,10,0.4616016133872623,0.4592624082232011,0.0132,0.999,0.2283089084194026,6505.0
Salamina,2014-11-30,2014,11,0.6904342909265453,0.7324023364095762,0.0414,0.9992,0.1667706436209643,6513.0
Salamina,2014-12-31,2014,12,0.6454908025929904,0.6600943781251314,0.0261,0.9981,0.15959540900249605,6510.0
Salamina,2015-01-31,2015,1,0.6876846882502903,0.7461422843780268,0.0162,0.9889,0.15794189953754564,6513.0
