municipio,date,anio,et_real_mm,et_potencial_mm,n_pixeles
Marmato,2021-12-31,2021,1191.6875576036866,1244.3910138248848,7.0
Marmato,2022-12-31,2022,1183.6972350230417,1184.4972350230416,7.0
Marmato,2023-12-31,2023,1243.4147465437788,1269.7064516129033,7.0
Marmato,2024-12-31,2024,1106.6235023041477,1301.8481566820278,7.0
Marquetalia,2005-12-31,2005,1164.3805762081788,1165.3447026022307,11.0
Marquetalia,2006-12-31,2006,1156.1561338289966,1162.0355947955393,11.0
Marquetalia,2007-12-31,2007,1111.76905204461,1156.4231412639408,11.0
Marquetalia,2008-12-31,2008,1115.475650557621,1116.2439591078069,11.0
Marquetalia,2009-12-31,2009,1183.083643122677,1183.444237918216,11.0
Marquetalia,2010-12-31,2010,1108.3850371747214,1174.8012081784389,11.0
Marquetalia,2011-12-31,2011,1147.5990706319706,1147.5990706319706,11.0
Marquetalia,2012-12-31,2012,1214.8258364312271,1216.1687732342011,11.0
Marquetalia,2013-12-31,2013,1165.9893122676583,1203.972769516729,11.0
Marquetalia,2014-12-31,2014,1193.4269516728627,1209.400743494424,11.0
Marquetalia,2015-12-31,2015,1207.2356877323423,1242.4811338289965,11.0
Marquetalia,2016-12-31,2016,1136.4620817843868,1181.2603159851303,11.0
Marquetalia,2017-12-31,2017,1168.0813197026025,1179.5528810408925,11.0
Marquetalia,2018-12-31,2018,1131.5062267657995,1147.6181226765802,11.0
Marquetalia,2019-12-31,2019,1139.2320631970263,1320.6441449814129,11.0
Marquetalia,2020-12-31,2020,1271.4644052044612,1348.6322490706323,11.0
Marquetalia,2021-12-31,2021,1181.3288104089222,1244.6405204460968,11.0
Marquetalia,2022-12-31,2022,1188.475650557621,1188.9990706319704,11.0
Marquetalia,2023-12-31,2023,1236.151115241636,1262.479460966543,11.0
Marquetalia,2024-12-31,2024,1193.2559479553906,1289.39405204461,11.0
Marulanda,2005-12-31,2005,927.1444815309305,932.7332220738766,34.0
Marulanda,2006-12-31,2006,927.0735202492215,936.3874054294619,34.0
Marulanda,2007-12-31,2007,905.9417668001784,930.2919893190924,34.0
Marulanda,2008-12-31,2008,908.9518914107703,910.1241878059639,34.0
Marulanda,2009-12-31,2009,953.372518914108,959.2656430796621,34.0
Marulanda,2010-12-31,2010,908.2435692033825,957.1190253671566,34.0
Marulanda,2011-12-31,2011,934.6286604361375,934.8818424566091,34.0
Marulanda,2012-12-31,2012,968.3418780596353,979.4355585224747,34.0
Marulanda,2013-12-31,2013,936.0062750333782,968.4443257676905,34.0
Marulanda,2014-12-31,2014,949.581886960392,971.4113484646199,34.0
Marulanda,2015-12-31,2015,956.1523364485985,1002.773920783267,34.0
Marulanda,2016-12-31,2016,904.5638406764579,937.0622385402762,34.0
Marulanda,2017-12-31,2017,931.9328882955056,944.4262127280823,34.0
Marulanda,2018-12-31,2018,916.8267245215847,933.3183800623058,34.0
Marulanda,2019-12-31,2019,960.871050289275,1066.6141299510464,34.0
Marulanda,2020-12-31,2020,1055.7202714730756,1097.3775700934584,34.0
Marulanda,2021-12-31,2021,972.3948820649758,1007.990720961282,34.0
Marulanda,2022-12-31,2022,957.955562972853,962.8022919448157,34.0
Marulanda,2023-12-31,2023,1008.1867156208282,1015.9242545616382,34.0
Marulanda,2024-12-31,2024,933.8002002670231,1048.8939474855367,34.0
Neira,2005-12-31,2005,1048.7181385869567,1057.0324954710145,33.0
Neira,2006-12-31,2006,1049.0129076086957,1063.112703804348,33.0
Neira,2007-12-31,2007,1013.0300724637682,1055.1110733695652,33.0
Neira,2008-12-31,2008,1037.248596014493,1038.1447237318841,33.0
Neira,2009-12-31,2009,1075.5285778985508,1086.619429347826,33.0
Neira,2010-12-31,2010,1006.594293478261,1089.1765398550724,33.0
Neira,2011-12-31,2011,1065.0903532608695,1065.1750226449276,33.0
Neira,2012-12-31,2012,1096.0185461956523,1113.2264945652175,33.0
Neira,2013-12-31,2013,1045.241123188406,1097.6748414855074,33.0
Neira,2014-12-31,2014,1068.7634057971015,1104.0841032608698,33.0
Neira,2015-12-31,2015,1068.7088541666667,1145.3031476449275,33.0
Neira,2016-12-31,2016,1014.7246376811595,1082.4207653985509,33.0
Neira,2017-12-31,2017,1066.2366621376812,1086.6191349637681,33.0
Neira,2018-12-31,2018,1031.1844429347827,1051.5697237318843,33.0
Neira,2019-12-31,2019,1113.5798686594205,1205.2714221014494,33.0
Neira,2020-12-31,2020,1169.1847373188407,1236.2115715579712,33.0
Neira,2021-12-31,2021,1126.5938405797103,1136.6102807971015,33.0
Neira,2022-12-31,2022,1084.748392210145,1088.7772871376812,33.0
Neira,2023-12-31,2023,1139.9646286231884,1145.8238451086959,33.0
Neira,2024-12-31,2024,1087.8348052536232,1178.5348052536233,33.0
Norcasia,2005-12-31,2005,1325.1483088235298,1332.350441176471,24.0
Norcasia,2006-12-31,2006,1303.2105147058828,1317.5009558823533,24.0
Norcasia,2007-12-31,2007,1201.8860661764709,1308.152279411765,24.0
Norcasia,2008-12-31,2008,1245.129154411765,1258.874779411765,24.0
Norcasia,2009-12-31,2009,1334.261691176471,1337.6408823529416,24.0
Norcasia,2010-12-31,2010,1183.9999632352944,1322.134816176471,24.0
Norcasia,2011-12-31,2011,1285.543566176471,1293.0795955882356,24.0
Norcasia,2012-12-31,2012,1357.3095955882354,1384.6561029411769,24.0
Norcasia,2013-12-31,2013,1307.3236397058827,1366.9872426470592,24.0
